"X" "Y"
"315" 458923.676777141 5058952.14788098
"316" 423920.855044209 5044310.89828692
"317" 468226.154254832 4955398.94175585
"318" 460300.653004943 5043869.25924724
"319" 378461.100635735 4935721.59286704
"320" 484068.299333441 5032171.30390041
"321" 407406.363584404 5001018.22780682
"322" 431912.583252755 5027102.31469486
"323" 465183.623593101 4966440.75802368
"324" 381550.341792596 4955923.21535751
"325" 403588.810299949 4983305.76597454
"326" 469039.303716644 5043325.15771511
"327" 433814.481408115 5047571.91851446
"328" 453795.863009535 5062158.24002934
"329" 375629.11937948 4975968.14638876
"330" 408148.385164463 4983266.88519088
"331" 457405.133640172 5011118.38117316
"332" 464694.332832208 5044887.32328637
"333" 469970.085144155 5025977.84450329
"334" 431816.887719005 5044561.5442901
"335" 444750.663496114 5032743.9074983
"336" 389889.789998739 4978999.62271911
"337" 436139.984397465 5031443.08226042
"338" 402612.582987316 5009554.04625563
"339" 370029.030915356 4968199.56147793
"340" 407916.887491454 5030145.42766613
"341" 408593.240844825 4918308.27740256
"342" 393102.067155612 4941336.52441896
"343" 384472.613843531 4925716.02345885
"344" 479114.108718284 4952452.79352066
"345" 382777.833077238 4932924.91256272
"346" 391629.927174129 4942536.73717526
"347" 472742.782341428 4956444.85351484
"348" 403826.509360742 4958379.10127503
"349" 460311.970867622 4976287.82108011
"350" 406420.609426415 4930603.08109616
"351" 372811.775408533 4978449.17759525
"352" 390181.752015434 4973150.80539302
"353" 422519.519598303 5038000.60869387
"354" 409330.06564946 4925346.76062808
"355" 444657.598991024 5032635.63609828
"356" 408486.874314234 4930750.52691256
"357" 440699.740913354 5050680.07600667
"358" 412859.648404978 4985745.49225471
"359" 402120.329523162 5012181.47963943
"360" 458347.633273777 4957193.64972359
"361" 475300.462927962 4962382.46566449
"362" 464434.702710749 4976925.23888117
"363" 458422.017630443 5050168.69757781
"364" 386617.471968571 4975219.5795472
"365" 475280.142611539 4969709.31713857
"366" 469318.938465841 4964817.55629288
"367" 391793.117220778 4958819.78427144
"368" 454276.919806942 4977601.50734209
"369" 410893.70974907 4967994.61557282
"370" 469752.001666063 5051468.86236952
"371" 486763.110903441 4984237.6437468
"372" 439335.157784932 5037232.92927913
"373" 435642.267344317 5037884.15004235
"374" 462203.746667465 4991939.78076637
"375" 446272.531284362 5042358.81159639
"376" 455677.057012737 4973771.22005024
"377" 457398.464687657 5058082.05255508
"378" 404256.272053331 4970382.28494365
"379" 456163.047468295 5052759.43971142
"380" 455979.232360097 5051662.79194357
"381" 403488.088333672 5020888.68353106
"382" 440067.540447677 5045567.82215226
"383" 370168.467463651 4957444.99638737
"384" 399500.795936864 5021908.56376987
"385" 368517.025320793 4964222.27312589
"386" 380759.539609627 4963291.08249403
"387" 405176.597768049 4921808.13198931
"388" 381130.301636869 4957314.7267662
"389" 390210.367909357 4985368.24953504
"390" 488336.687423051 4971880.87422061
"391" 451184.911985131 5050537.69665703
"392" 487580.776064807 4987557.45378708
"393" 455060.00010588 4969978.04846315
"394" 478201.381707396 4980148.85305102
"395" 427906.171042216 4921158.85428682
"396" 429368.899290734 4940675.98415057
"397" 453611.984570516 4948676.41857255
"398" 426051.798368668 4916059.55612383
"399" 452995.272398519 4958249.00754074
"400" 456982.448301211 4950069.3480819
"401" 450693.60258961 4947237.60199785
"402" 444806.191093831 4936448.05465006
"403" 446371.070555153 4946006.62755466
"404" 437981.811408852 4936855.78289757
"405" 424775.601746915 4903573.46247682
"406" 440387.681090512 4945565.05034887
"407" 453892.439845998 4956126.92383059
"408" 452272.571877612 4943411.47223006
"409" 434112.198623218 4948115.19626806
"410" 453843.599195895 4930948.58845143
"411" 449582.523004296 4935912.52162551
"412" 439024.10627461 4938259.73543701
"413" 429543.831931026 4948808.85606696
"414" 441166.113581846 4949335.05399371
"415" 461450.553339443 4957870.66991802
"416" 419529.086219184 4922383.01350238
"417" 452988.019574473 5031729.10158694
"418" 388191.935138111 5006768.64848758
"419" 387391.941977687 4950893.68755179
"420" 396732.952936118 4996527.45285768
"421" 444040.042412993 5023808.33012846
"422" 429110.094468067 5022276.54234294
"423" 433882.5739556 5024946.88675175
"424" 472878.935562814 5047355.11947721
"425" 481538.019876937 5034611.86450009
"426" 458433.208210711 4965426.45306169
"427" 467345.006972964 4988054.83299263
"428" 473196.686927432 5033349.57036084
"429" 482292.565597719 5028073.73957348
"430" 393622.496915593 4969313.86445805
"431" 397166.75418504 4986371.03933758
"432" 418833.713744402 5003170.2077625
"433" 461659.581342719 5011572.06048513
"434" 405446.736671653 4998287.56450512
"435" 388160.964589229 4993894.85497545
"436" 394295.735568337 4958158.34538422
"437" 408117.167506263 5008083.02733754
"438" 490789.80289467 4985011.28019847
"439" 398536.207269008 4932356.83793112
"440" 412936.893288412 4928800.7428567
"441" 464928.091242629 4960805.56868919
"442" 472068.025428018 4972116.86231104
"443" 437530.675119795 5002222.53289109
