"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"123" "04SS1N444PI" "04SS3N975PI" 1 1 327458.779564235 4983704.56292274 0 0 324664.048832501 4983581.98489721
"124" "04SS1N447PI" "04SS3N170PI" 1 1 335990.013166899 4994607.2137027 0 0 332338.303559754 4994772.98606291
"125" "04SS1N448PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 348212.945676513 5002557.72158727
"126" "04SS1N456PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 346415.290347361 4997727.60453301
"127" "04SS1N535PI" "04SS1N127PI" 1 1 340472.015398485 5000774.91823078 0 0 337320.149698111 5002689.69090655
"128" "04SS1N560PI" "04SS3N755PI" 1 2 364815.326264951 4908050.55043199 0 0 371743.577721175 4912134.12683184
"129" "04SS1N560PI" "04SS3N756PI" 1 2 379902.692479386 4913445.9103748 0 0 371743.577721175 4912134.12683184
"130" "04SS1N597PI" "04SS3N170PI" 1 1 335990.013166899 4994607.2137027 0 0 335094.420465883 4997336.71757715
"131" "04SS1N598PI" "09SS3N801PI" 1 1 422664.717090784 4913200.19778549 0 0 419513.936771833 4916230.2593306
"132" "04SS1N601PI" "04SS1N042PI" 1 2 354662.871728749 4923499.26940458 0 0 352964.531335479 4924539.82866315
"133" "04SS1N601PI" "04SS3N288PI" 1 2 357345.084137265 4927983.44542855 0 0 352964.531335479 4924539.82866315
"134" "04SS1N648PI" "04SS3N120PI" 1 1 358040.691832161 4978598.72997522 0 0 361934.366774544 4970160.02519055
"135" "04SS1N663PI" "04SS3N120PI" 1 1 358040.691832161 4978598.72997522 0 0 359457.449766358 4973335.9187743
"136" "04SS1N674PI" "04SS3N289PI" 1 1 373248.88714965 4926101.93882836 0 0 368044.067447167 4925950.29675574
"137" "04SS1N703PI" "04SS2N704PI" 1 1 368796.109779175 4987934.93379954 0 0 359272.161355962 4987004.06603854
"138" "04SS1N753PI" "04SS2N754PI" 1 1 342915.193807036 4910992.01170715 0 0 336171.285368357 4917680.28399675
"139" "04SS1N771PI" "04SS2N119PI" 1 2 343133.773054182 4987862.49455833 0 0 334554.019188639 4981332.54399409
"140" "04SS1N771PI" "04SS1N118PI" 1 2 338334.230443527 4978926.83781393 0 0 334554.019188639 4981332.54399409
"141" "04SS1N809PI" "04SS2N704PI" 1 1 368796.109779175 4987934.93379954 0 0 364803.285106395 4986856.2223694
"142" "04SS1N860PI" "04SS3N120PI" 1 1 358040.691832161 4978598.72997522 0 0 349883.555600106 4983257.23940859
"143" "04SS1N905PI" "04SS3N755PI" 1 1 364815.326264951 4908050.55043199 0 0 358440.653214181 4904540.53594683
"144" "04SS1N911PI" "04SS3N170PI" 1 1 335990.013166899 4994607.2137027 0 0 341992.818110492 4995870.86515428
"145" "04SS2N013PI" "04SS2N362PI" 1 1 350806.860141712 4962872.37948864 0 0 356544.905587095 4968148.31937844
"146" "04SS2N039PI" "06SS2N989PI" 1 3 378461.100635735 4935721.59286704 0 0 379752.002387749 4943618.30971375
"147" "04SS2N039PI" "06SS3F381PI" 1 3 381130.301636869 4957314.7267662 0 0 379752.002387749 4943618.30971375
"148" "04SS2N039PI" "04SS2N380PI" 1 3 366877.610014152 4945736.12466299 0 0 379752.002387749 4943618.30971375
"149" "04SS2N075PI" "04SS2N130PI" 1 3 388441.99812049 4911333.41736189 0 0 392007.606759967 4912012.4002168
"150" "04SS2N075PI" "04SS2N369PI" 1 3 395367.258844927 4909742.97911444 0 0 392007.606759967 4912012.4002168
"151" "04SS2N075PI" "06SS3F370PI" 1 3 405176.597768049 4921808.13198931 0 0 392007.606759967 4912012.4002168
"152" "04SS2N076PI" "04SS2N380PI" 1 1 366877.610014152 4945736.12466299 0 0 376124.476817036 4943166.1405001
"153" "04SS2N095PI" "04SS2N147PI" 1 2 408463.9998555 4905003.32165656 0 0 414184.543480604 4905511.76100365
"154" "04SS2N095PI" "04SS3N148PI" 1 2 415248.112157469 4915863.1851082 0 0 414184.543480604 4905511.76100365
"155" "04SS2N102PI" "04SS3N171PI" 1 1 351286.50158751 4999510.9484607 0 0 344753.538826742 5005502.8078859
"156" "04SS2N119PI" "04SS1N771PI" 1 5 334554.019188639 4981332.54399409 0 0 343133.773054182 4987862.49455833
"157" "04SS2N119PI" "04SS1N030PI" 1 5 340828.299366698 4990979.29569007 0 0 343133.773054182 4987862.49455833
"158" "04SS2N119PI" "04SS1N118PI" 1 5 338334.230443527 4978926.83781393 0 0 343133.773054182 4987862.49455833
"159" "04SS2N119PI" "04SS1N272PI" 1 5 344312.286382889 4987239.10140123 0 0 343133.773054182 4987862.49455833
"160" "04SS2N119PI" "04SS3N120PI" 1 5 358040.691832161 4978598.72997522 0 0 343133.773054182 4987862.49455833
"161" "04SS2N130PI" "04SS2N075PI" 1 2 392007.606759967 4912012.4002168 0 0 388441.99812049 4911333.41736189
"162" "04SS2N130PI" "04SS1N129PI" 1 2 386155.876795875 4901848.25449927 0 0 388441.99812049 4911333.41736189
"163" "01SS3N727PI" "01SS1N391PI" 1 7 436896.798229167 5056084.80016759 0 0 442343.91145474 5059699.88401931
"164" "01SS3N727PI" "01SS1N518PI" 1 7 439739.792358984 5060717.93658532 0 0 442343.91145474 5059699.88401931
"165" "01SS3N727PI" "01SS1N925PI" 1 7 441404.067444667 5062358.41537837 0 0 442343.91145474 5059699.88401931
"166" "01SS3N727PI" "01SS2N726PI" 1 7 431065.856672329 5061638.28626421 0 0 442343.91145474 5059699.88401931
"167" "01SS3N727PI" "01SS2N746PI" 1 7 438562.624227433 5064075.34975818 0 0 442343.91145474 5059699.88401931
"168" "01SS3N727PI" "01SS3N721PI" 1 7 441009.859764055 5069909.17584702 0 0 442343.91145474 5059699.88401931
"169" "01SS3N727PI" "06SS3F722PI" 1 7 451184.911985131 5050537.69665703 0 0 442343.91145474 5059699.88401931
"170" "01SS3N758PI" "01SS1N426PI" 1 7 373157.582455819 5014689.51191549 0 0 377260.21413415 5014818.45057842
"171" "01SS3N758PI" "01SS1N473PI" 1 7 371596.901202108 5015897.55232306 0 0 377260.21413415 5014818.45057842
"172" "01SS3N758PI" "01SS2N752PI" 1 7 366075.502093945 5018833.03698849 0 0 377260.21413415 5014818.45057842
"173" "01SS3N758PI" "01SS2N763PI" 1 7 367532.356919493 5023331.92663787 0 0 377260.21413415 5014818.45057842
"174" "01SS3N758PI" "01SS2N765PI" 1 7 366702.149061659 5010190.13274504 0 0 377260.21413415 5014818.45057842
"175" "01SS3N758PI" "01SS2N817PI" 1 7 379056.857511161 5018735.18747568 0 0 377260.21413415 5014818.45057842
"176" "01SS3N758PI" "06SS3F760PI" 1 7 388191.935138111 5006768.64848758 0 0 377260.21413415 5014818.45057842
"177" "04SS1N030PI" "04SS2N119PI" 1 1 343133.773054182 4987862.49455833 0 0 340828.299366698 4990979.29569007
"178" "04SS1N041PI" "04SS3N288PI" 1 1 357345.084137265 4927983.44542855 0 0 351035.103635742 4931270.58106487
"179" "04SS1N042PI" "04SS1N601PI" 1 1 352964.531335479 4924539.82866315 0 0 354662.871728749 4923499.26940458
"180" "04SS1N089PI" "04SS2N921PI" 1 1 362730.547897201 4936519.0908179 0 0 358274.01652205 4939693.58162176
"181" "04SS1N115PI" "06SS2D116PI" 1 1 377577.934559176 4981154.51982087 0 0 371319.598237313 4982266.80762162
"182" "04SS1N118PI" "04SS1N771PI" 1 2 334554.019188639 4981332.54399409 0 0 338334.230443527 4978926.83781393
"183" "04SS1N118PI" "04SS2N119PI" 1 2 343133.773054182 4987862.49455833 0 0 338334.230443527 4978926.83781393
"184" "04SS1N127PI" "04SS1N535PI" 1 3 337320.149698111 5002689.69090655 0 0 340472.015398485 5000774.91823078
"185" "04SS1N127PI" "04SS3N170PI" 1 3 335990.013166899 4994607.2137027 0 0 340472.015398485 5000774.91823078
